id,target
comedy_004248fb26ab97c2ef5a,0
comedy_006be465aeb789e10de0,6
comedy_007ed752ef7f33cc39cf,1
comedy_0096c93d16eb969a9f2c,1040
comedy_00a185e1514a2097c0fb,2112
comedy_00a57b9d2ac7da6bad6a,0
comedy_00ae20d70ec3ec380a50,272
comedy_00c0b3c1a34d55641705,4
comedy_00ea2af72431d5229b12,0
comedy_01266f3d77216b787861,16
comedy_0135d224144981128c67,1552
comedy_0150996b4118c269a765,16
comedy_0158032089a8abdacca5,0
comedy_0174390f460946fc8a03,0
comedy_01882146ea754d84c678,64
comedy_01c896dbf95190f5d6d8,84
comedy_01eb0b007fbccb2c9327,0
comedy_01fea503150a7573f21a,0
comedy_020b9856632d514a788e,5
comedy_02281dadee35b2c642d0,0
comedy_027ca40e2286c13199a5,1
comedy_02eadab8250158300ac4,1
comedy_030194bbc2d422c9c58f,640
comedy_0313f38eedfe17b50ca0,536
comedy_0318f85aa6e1d222bf67,0
comedy_032902038c4cfbf30179,0
comedy_03310efd0cd85683ec0f,0
comedy_034d5286e74a2b750275,0
comedy_03c60c9d41db5f2aaa3a,1024
comedy_03eeb100e36c1e3883f6,64
comedy_03ff42738985f02a2921,4033
comedy_0422df43dff10408c0d4,1
comedy_049152aa7dc694a8fa8c,324
comedy_049a564f9cd6ecfc81ec,0
comedy_04ca4900d9228ebdb4ed,388
comedy_0548e71801bc13d76d0e,0
comedy_05586c21b5a0b2e2f888,0
comedy_062d3721474970ef6a51,2554
comedy_062df35fb8f0c1943b6e,777
comedy_065c245eb8d3abb203e2,3081
comedy_069c6bd5dd6c317eb917,0
comedy_06f610988077e944330c,1297
comedy_06fc63bc9eef0c4d5d31,264
comedy_0738fc8b95ddf800dc60,5
comedy_078e93a04b040484fe0b,1
comedy_07adb0d4278601dd2613,576
comedy_07bf3a3937bfd12a87a3,1024
comedy_07d5d9f965b987e03562,257
comedy_07eabde37fc38c6f8540,3624
comedy_07f360bb9e086974acda,261
comedy_082f296d5e3df4d02a06,0
comedy_08569c0a200939b2bdb7,1825
comedy_0856c5e014a0d4c89896,1304
comedy_0862c6f9f4f63c13959f,0
comedy_08e2af5b92d7682f8f83,0
comedy_090ecd49cddde3003d09,8
comedy_093be781038b1e7ba2c5,2598
comedy_09573dc843367091b3e6,1
comedy_095deae835eed390d467,592
comedy_0968670a489beb84aa0c,4032
comedy_0969961559585ffeeab0,80
comedy_09f614fa2f406332787c,449
comedy_09faae61f57bbe863086,68
comedy_0a07bb8ed0d4bc5410ca,0
comedy_0a30deae4f8090d848c9,16
comedy_0a35feb9f0d9c67fbf43,2065
comedy_0aa1ad3af58f5d31496f,1054
comedy_0ab3f3e362af0f435d3e,2
comedy_0b4f37fefa703fe80129,0
comedy_0b569d4e9a363285965e,256
comedy_0b644e0a7b0008de7132,0
