task_id,antecedents
000491aacd2b3335ff3b,[7]
00069553de12e46a6ace,[23]
00134de68904f8d2693b,"[15, 17, 18, 21, 22, 23]"
0026f516dab9b7d121c7,[23]
0033ff1e13ba649e4a12,"[20, 22]"
003d964ab8918e5683be,[19]
004b4539eda9a7d008d1,[17]
004cfd51f65ee7cd9c19,[7]
0058a72915794e30c137,[21]
00659968ca707b9faf04,[22]
006b9fcb724df2201142,[3]
007984f35290547d28bc,[17]
00896d0560104abac19e,[18]
00905a2c1897a05a1765,[17]
00aa59e510d423808cbf,[20]
00b21a5a00f495285259,[9]
00bc414992cd5fd57653,"[5, 8, 21]"
00c04f0822c4c761c058,"[22, 23]"
00c2698de5161fd197b0,[18]
00cc77c6711426472f1c,"[17, 23]"
00d0d5f71a9c29eb1112,"[1, 9, 15, 17]"
00d14ee00842caab132f,"[3, 20]"
00d5bc801a7f34c789aa,[1]
00eb2bc7784b8b7425a1,[18]
00ee27bbeff9ac7458ea,[11]
00fe5b9ceb9b1e55037a,"[4, 9, 16]"
0111de5306679bc40440,[6]
0113834a1204011c4145,[20]
011ae618e27d6bd4558a,"[5, 9]"
011b184d40a6259fd9ab,"[3, 10]"
0122d05612d44516be1a,[0]
0141a54991e92b97a578,"[7, 10, 11, 12, 19, 21]"
0143eb282c81c1fe943a,[14]
014fb80b084cd2ca5569,"[15, 18, 20]"
0163fcffc3bd0b2b882b,"[4, 9, 16, 19]"
017182278ab77984c9dd,[23]
0186353b1ed1c0e5711c,[21]
01887f9df82b0cbe22b5,[20]
0196b46019cfb141c574,[23]
019e95ac92ccf6e23cb9,[22]
01aa77271446e86f738e,[17]
01c5a85c125d112ac367,"[6, 10]"
01ca09a3f4dd980738f6,[23]
01d5ac8267004c30930b,[1]
01dee78d06380b7a3983,"[5, 17]"
01df619996c30188a52a,[12]
02142ab1e9c3d877942c,[19]
0215ac82b9a872d5a9f7,[1]
02229a5beb41c99b3206,"[12, 17]"
0223b4d63a13c8ac4a2c,"[8, 18, 22]"
022b610074114f68218e,"[16, 18, 19, 20, 23]"
022d7694c0b51996c9c1,"[7, 13]"
022e2d290088d28da7af,"[3, 5]"
0249936a14c730c1148a,[21]
0266e20b2864e8f0cc97,[15]
02695dc2c6fde504e628,"[11, 12, 14, 15, 16, 21]"
027b92115b0dfd96406d,"[13, 15, 17]"
028aeebfb7759c9cf3c1,[22]
029377a5973c4b970b8d,"[7, 17, 19, 22]"
0293f7e8a89e9330c460,[18]
0298a77f90b688f06e30,"[5, 22]"
02ae20c71342e85dc0db,[4]
02b01c2e7efbc03ab631,"[4, 10, 14]"
02b37bf3d2c3bc629a7c,"[3, 8, 16]"
02bf92fdb141188a9d6f,[6]
02cfb1812447e33c9260,"[17, 19, 20, 22, 23]"
02e7e6c82b0aac336c67,"[0, 5]"
02f2ad6e6b85028488ba,[20]
030ae0219d50eb10f868,[2]
031fb26887e0f895ce22,[19]
032627453cc454601406,[23]
03760e3994eed8a8c850,[13]
037677fb5604b1baa267,[20]
037f7190bdc4f55a8e16,[15]
038bb3b04af7532a06b3,[11]
03939fb9ed9aa7f74e69,[11]
