id,group,context_00,context_01,context_02,context_03,outcome_00,outcome_01,outcome_02,outcome_03,outcome_kind_00,outcome_kind_01,outcome_kind_02,outcome_kind_03
0008637376694d36789536f2,43fcbb4f954298bb371d9a26,role_a_0 n_c0 n_1d n_55 w_37 n_4e w_0b v_00 n_43 n_5b w_07 w_2d n_f7 w_42 n_31 n_df w_4e segment_end role_a_1 n_10 n_c2 w_16 n_28 n_14 w_41 n_90 n_13 n_94 w_33 n_1f w_37 n_15 w_1e n_af n_b4 segment_end,role_a_0 w_51 w_21 n_2e w_2d n_39 w_27 w_1e w_31 n_f5 w_42 w_4a n_ac w_56 w_37 n_8d n_6e segment_end,role_a_0 n_8d v_0c n_5c n_bb n_5f n_eb n_f9 n_14 n_96 n_2a w_31 w_34 w_07 n_01 n_cb n_31 segment_end role_a_1 n_98 n_86 w_09 w_38 n_66 w_26 n_8a n_a6 w_5f n_5f n_9a n_f2 w_2f n_84 w_32 w_57 segment_end,role_a_0 n_00 n_5b n_84 n_9c w_3f n_26 n_04 n_f5 n_72 n_c5 n_f0 n_a6 n_b9 n_2f n_54 w_12 segment_end role_a_1 n_8d v_0c n_5c n_bb n_5f n_eb n_f9 n_14 n_96 n_2a w_31 w_34 w_07 n_01 n_cb n_31 segment_end,channel_text w_2e n_c6 w_40 n_71 n_0a n_0f n_6f n_23 w_02 n_8e n_b1 n_74 n_9a n_91 n_92 w_17,channel_text w_57 w_17 w_56 w_2e w_4a w_30 w_4f n_09 w_02 n_c9 n_92 w_45 n_22 w_0b w_1e n_97,channel_event n_35 n_b4 n_bd n_0f n_16 n_81 w_0c n_69 w_0f n_f2 w_2d n_70 n_97 w_24 n_c1 n_b0,channel_text n_fc n_73 w_07 w_2b w_4a w_16 w_2d w_21 w_31 n_38 w_1e w_4e n_00 w_29 w_57 w_38,text,text,event,text
00107fe9f29362314f18688a,bf9dd700e84b7956a966b54c,role_a_0 w_37 n_71 n_8f n_15 n_8e n_09 n_ec n_ff n_d7 v_12 n_61 w_4e n_5a w_3c n_20 n_78 segment_end role_a_1 w_37 w_45 w_3d n_64 w_43 w_56 w_38 w_4a w_2d w_3c w_04 w_46 n_10 n_f9 n_a7 w_17 segment_end,role_a_0 w_3c n_95 n_ab n_2b w_4e n_a3 n_89 w_37 w_38 n_2f n_76 n_93 n_64 n_e2 n_fb n_04 segment_end role_a_1 n_59 w_02 w_01 n_c8 n_e7 w_3e n_99 n_2e w_4e n_15 n_ef n_e5 n_2c n_b8 n_90 w_37 segment_end,role_a_0 n_26 n_e6 n_6d n_5e w_2b n_60 n_12 n_b1 n_dc n_52 n_8c n_ea n_d4 w_5f n_7a n_0d segment_end role_a_1 n_46 n_58 n_df n_6f n_37 n_ac n_f8 n_cf n_41 n_3e n_a3 n_14 w_04 n_4f w_46 n_89 segment_end,role_a_0 w_16 w_2a w_04 n_8f w_39 n_c9 w_3a n_59 w_33 w_11 w_2b w_59 w_1b w_4a w_06 n_f4 segment_end role_a_1 n_3c n_35 n_f1 n_8a w_09 n_49 w_48 w_33 n_92 n_2f n_e5 n_99 n_48 n_0e n_f4 n_6c segment_end,channel_text w_25 w_3e n_77 w_22 w_15 w_42 w_4a n_f1 w_2d n_50 w_36 w_09 w_4f w_4e n_5d w_5c,channel_text w_2d w_48 n_66 w_4a w_30 w_57 n_6d w_02 w_1e w_26 w_56 w_07 w_39 n_78 w_1c n_2c,channel_event w_38 w_32 n_a5 w_2d n_00 n_5d n_98 w_1f n_8e w_3e w_44 w_01 w_42 n_7a w_26 n_95,channel_text w_04 w_38 w_25 w_45 w_07 w_4e w_2d n_4b w_1e w_39 w_17 n_8f n_c5 w_59 w_03 n_a1,text,text,event,text
0010a9e0f8e5ec4a1aa88efa,df01e021f60efaeabae941a2,role_a_0 w_1e w_51 n_4c w_30 n_64 n_bc n_94 n_3e w_37 n_d6 n_c8 w_0b w_48 n_fa n_61 w_03 segment_end role_a_1 n_81 n_03 w_18 n_cd n_c2 n_f3 w_1e n_b2 n_43 n_cb n_55 n_29 n_c7 n_67 n_75 n_1d segment_end,role_a_0 n_30 n_b3 n_d1 v_0c n_0c n_c3 n_be n_62 n_9c n_6c n_86 n_c9 v_00 n_41 n_fb n_05 segment_end role_a_1 n_71 n_2e n_ce n_07 n_12 n_98 w_46 n_29 n_c9 n_cb n_35 n_14 n_53 n_6d n_59 n_a2 segment_end,role_a_0 n_13 n_e4 w_17 n_1e n_60 n_65 n_54 n_5b w_35 n_0f n_1c n_a9 n_8d n_09 w_45 w_2b segment_end role_a_1 n_e8 n_ae w_57 n_a3 n_b1 n_d5 n_e0 w_46 n_cb n_d2 w_09 n_a8 n_68 n_f4 w_04 n_74 segment_end,role_a_0 w_37 n_b9 n_55 w_32 w_40 w_4d w_22 n_df n_23 n_e7 w_48 n_cb w_5e w_38 w_1e w_05 segment_end role_a_1 n_34 n_b4 n_07 n_ef n_0d n_80 n_ed n_1d n_83 n_33 n_b5 n_63 n_ae n_23 w_38 n_be segment_end,channel_event n_e0 w_44 n_e9 n_77 w_38 w_26 n_62 w_32 w_18 w_1e w_1f n_0c w_42 w_2d n_b7 n_e8,channel_event w_35 w_2b n_bf n_88 n_f1 w_38 w_34 n_b8 w_12 n_00 n_67 n_fe w_16 w_2d n_e1 n_3f,channel_text n_3c n_08 w_4d n_bb w_30 w_48 n_48 n_eb n_40 w_2f n_17 w_2d n_8b n_93 w_17 n_5f,channel_text w_31 w_1e w_2e w_57 n_f3 w_17 n_ec n_50 w_40 w_42 n_0c n_34 n_7f w_30 w_07 w_4a,event,event,text,text
001799d8f370cc072f357b6e,b36e8e37164061c64408e50d,role_a_0 n_ab w_0f n_5b n_4e n_16 n_2a n_4b n_3a n_de n_cd n_71 n_27 n_e1 w_50 n_7b n_a5 segment_end role_a_1 n_e8 n_d7 n_5e n_52 n_ec n_22 n_5a n_45 v_12 n_ca n_d3 n_8c n_4d n_47 n_d5 n_eb segment_end,role_a_0 w_2b n_23 n_b8 n_3d n_4d n_f5 n_da n_f9 n_88 n_e2 n_89 n_31 n_52 n_67 n_62 n_33 segment_end role_a_1 w_2b n_23 n_b8 n_3d n_4d n_f5 n_da n_f9 n_88 n_e2 n_89 n_31 n_52 n_67 n_62 n_33 segment_end,role_a_0 w_2b n_56 w_42 w_37 n_57 w_56 w_4a w_0e w_27 w_22 w_31 w_5f n_b9 w_5b n_e1 w_57 segment_end role_a_1 n_48 w_1d n_63 n_f2 w_3d n_41 w_37 n_09 w_46 n_61 w_0f n_47 n_80 n_9c n_90 n_05 segment_end,role_a_0 n_48 w_1d n_63 n_f2 w_3d n_41 w_37 n_09 w_46 n_61 w_0f n_47 n_80 n_9c n_90 n_05 segment_end role_a_1 n_2f n_9b w_25 n_f3 n_31 n_03 n_39 n_d6 n_6d n_29 w_4e n_43 n_60 n_a5 w_2b w_45 segment_end,channel_text w_4a n_91 n_bf w_04 n_cf n_c4 w_03 w_57 n_ea w_45 n_9d w_59 w_1e w_38 n_4d w_2d,channel_text w_56 w_1e w_03 w_2f n_5e n_55 n_3d w_5b w_40 w_02 w_2d n_60 w_2e w_57 n_96 n_cf,channel_text w_4f w_57 w_45 w_07 w_4a w_1e w_17 n_1a w_38 n_05 w_2d w_04 n_95 n_61 w_03 w_25,channel_event n_a4 n_9e v_12 w_15 n_15 w_26 n_7f w_28 w_2d w_5d n_88 n_ad n_05 n_6b w_30 n_e3,text,text,text,event
0018239ffadcf4a0d55b9d39,035c50674a57d54aeef9efa6,role_a_0 n_8d v_0c n_5c n_bb n_5f n_eb n_f9 n_14 n_96 n_2a w_31 w_34 w_07 n_01 n_cb n_31 segment_end role_a_1 n_90 n_dd n_87 w_09 n_9e n_9d n_b7 n_d2 n_82 n_8a n_66 n_ce n_15 n_6f n_72 n_8b segment_end,role_a_0 n_8e w_1e w_3b n_48 n_bd w_37 w_3a w_09 w_48 w_0c n_2f w_13 w_0e w_4a w_59 w_45 segment_end role_a_1 w_42 w_2d w_1e w_2b n_00 w_4a n_64 w_38 w_3b n_85 w_45 w_11 n_19 w_16 w_18 w_33 segment_end,role_a_0 w_42 w_2d w_1e w_2b n_00 w_4a n_64 w_38 w_3b n_85 w_45 w_11 n_19 w_16 w_18 w_33 segment_end role_a_1 n_ab w_0f n_5b n_4e n_16 n_2a n_4b n_3a n_de n_cd n_71 n_27 n_e1 w_50 n_7b n_a5 segment_end,role_a_0 n_26 n_aa w_0c n_78 n_23 n_3e n_96 n_67 w_2d n_81 n_28 w_38 n_20 w_17 n_34 n_1e segment_end role_a_1 w_02 n_34 w_38 w_04 n_a7 n_a4 n_f9 w_4a w_46 w_41 w_2e n_ab w_2d n_6f n_28 w_59 segment_end,channel_text n_2d n_71 n_5b n_db w_5f n_9a n_b6 n_2b n_ce n_ea n_45 n_4d w_2d w_0f n_42 n_0b,channel_text w_4a w_2f w_17 w_4e w_03 w_26 w_1e w_04 n_db w_57 n_92 w_07 n_d9 w_59 n_33 w_25,channel_text w_43 w_5b n_3c w_2e n_69 w_4a w_59 w_02 w_56 w_21 w_30 w_1e n_b2 w_57 w_17 n_ff,channel_text w_56 w_57 w_2d n_33 w_1f w_40 n_ae n_ba w_15 w_1e w_05 w_5e w_2e n_c7 w_47 w_4a,text,text,text,text
001d7c64901e4acbe91e46d5,9be175c28e5f587a2f2b4ab5,role_a_0 n_1e n_99 n_5f n_26 n_a7 n_80 v_00 n_70 n_e0 n_c1 n_ca n_f9 w_42 n_96 w_34 w_07 segment_end role_a_1 n_8d v_0c n_5c n_bb n_5f n_eb n_f9 n_14 n_96 n_2a w_31 w_34 w_07 n_01 n_cb n_31 segment_end,role_a_0 n_90 n_3e n_0f n_55 n_bc n_f9 n_17 n_99 n_68 n_31 w_2f n_f1 n_73 w_5f n_a7 n_71 segment_end role_a_1 n_46 n_58 n_df n_6f n_37 n_ac n_f8 n_cf n_41 n_3e n_a3 n_14 w_04 n_4f w_46 n_89 segment_end,role_a_0 n_80 n_92 n_9b n_7c n_2c n_c0 w_09 n_5d n_20 n_e0 n_6b n_49 n_c2 n_b5 n_93 w_2d segment_end role_a_1 w_51 w_37 w_34 n_8a n_d2 n_aa w_10 n_b5 w_55 w_4d w_4a n_d5 w_47 w_2b n_e5 w_1e segment_end,role_a_0 w_11 w_1d n_8a n_b9 n_16 n_1e w_38 n_cd n_f0 n_e5 n_b1 n_21 w_3c w_44 w_26 n_80 segment_end role_a_1 n_b1 n_48 n_ef n_e2 w_38 n_dc w_04 n_d3 n_6f n_4a w_56 n_c7 n_7f n_ad w_4a n_0d segment_end,channel_text n_1b w_25 w_23 n_cf w_07 w_1e w_17 n_47 w_03 w_26 w_4a w_59 w_4e w_2d n_50 w_38,channel_text w_25 w_1e w_29 w_31 n_b6 w_2b w_57 n_96 n_da w_5b w_4a n_73 w_40 w_38 w_5c w_2d,channel_text w_57 w_17 w_42 w_59 w_4a w_40 n_b0 w_52 w_2d w_36 w_03 n_45 w_45 w_1e n_99 n_27,channel_text w_2d n_80 n_87 n_6b n_b7 n_14 w_04 n_71 n_15 n_67 n_a9 n_b2 w_46 n_68 n_fb n_46,text,text,text,text
0023d3ed501ffee7b679f75b,d5e083510154a1c57efdd33a,role_a_0 n_84 n_32 n_97 n_00 n_eb n_9e w_11 n_db n_95 n_b6 n_56 n_ab n_c6 n_5d n_99 n_77 segment_end role_a_1 n_c0 n_23 n_13 n_46 n_21 n_a4 n_96 n_ad w_4c n_49 n_2a n_7d n_64 n_a0 w_55 n_f2 segment_end,role_a_0 n_65 n_e1 n_a5 n_59 n_60 n_11 n_5f n_47 n_85 w_13 n_8f n_16 n_8e n_26 n_7b n_13 segment_end role_a_1 n_ab n_b2 n_07 n_8a n_a7 w_48 n_9d n_71 n_06 n_f9 n_01 n_f1 n_34 n_bc n_52 n_8d segment_end,role_a_0 n_61 w_46 w_4d w_39 n_70 w_3b w_1e n_a4 n_f8 n_7c n_94 w_3c n_e4 n_88 n_fe n_55 segment_end role_a_1 n_84 n_32 n_97 n_00 n_eb n_9e w_11 n_db n_95 n_b6 n_56 n_ab n_c6 n_5d n_99 n_77 segment_end,role_a_0 n_46 n_58 n_df n_6f n_37 n_ac n_f8 n_cf n_41 n_3e n_a3 n_14 w_04 n_4f w_46 n_89 segment_end role_a_1 w_1a n_32 n_36 n_81 n_c0 n_84 n_ac n_d7 n_b3 n_14 n_1a n_df n_0a w_38 n_46 n_ab segment_end,channel_event n_c8 w_18 n_8e n_ce n_17 n_b0 n_fd w_26 n_5b w_2d w_39 w_44 n_e1 w_42 n_d8 w_48,channel_event w_44 n_73 w_26 n_0e w_2d w_42 n_7d w_32 n_a1 w_38 n_43 n_aa n_de n_9e w_1f n_03,channel_text w_4a w_21 n_b1 w_45 n_16 w_03 w_2b w_27 w_5b w_3b n_09 w_30 w_43 n_ab w_2d w_17,channel_text w_04 w_42 w_2d w_25 w_57 w_4a w_48 w_39 w_34 n_3d w_3b n_b8 w_13 w_1e n_4a n_3a,event,event,text,text
00287ce24633110cadda2f13,2e282dcdfc0eb92dff387457,role_a_0 w_37 n_d8 n_e3 w_28 w_1e w_42 w_58 w_16 w_15 w_36 w_2b w_29 n_9e n_b3 w_23 w_2d segment_end role_a_1 n_4f w_46 n_44 n_9d w_04 n_b0 w_09 n_4d n_ca n_f8 n_12 n_05 w_5f n_88 n_90 n_e8 segment_end,role_a_0 w_48 n_7f w_2b w_15 n_91 w_37 w_30 w_1e n_6a w_47 n_56 w_36 w_42 w_27 w_1f w_57 segment_end,role_a_0 n_58 n_41 w_02 n_d0 n_1c n_0d n_9c w_34 w_18 n_72 n_61 n_11 n_79 n_3d w_1e n_a2 segment_end role_a_1 w_37 n_d8 n_e3 w_28 w_1e w_42 w_58 w_16 w_15 w_36 w_2b w_29 n_9e n_b3 w_23 w_2d segment_end,role_a_0 w_48 n_7f w_2b w_15 n_91 w_37 w_30 w_1e n_6a w_47 n_56 w_36 w_42 w_27 w_1f w_57 segment_end role_a_1 n_58 n_41 w_02 n_d0 n_1c n_0d n_9c w_34 w_18 n_72 n_61 n_11 n_79 n_3d w_1e n_a2 segment_end,channel_text n_5b w_4d n_fd n_2f n_47 w_48 w_17 n_f5 n_ed n_03 n_8d n_e7 n_ef n_53 n_50 w_30,channel_text n_57 w_2e n_16 w_08 w_2b w_57 w_4d w_4e w_15 n_b9 w_38 n_55 n_27 w_17 n_96 w_1e,channel_event n_e0 w_44 n_e9 n_77 w_38 w_26 n_62 w_32 w_18 w_1e w_1f n_0c w_42 w_2d n_b7 n_e8,channel_event w_35 w_2b n_bf n_88 n_f1 w_38 w_34 n_b8 w_12 n_00 n_67 n_fe w_16 w_2d n_e1 n_3f,text,text,event,event
002a822ce5b348ff3418d6f9,749870a39a649b6eea2ec462,role_a_0 n_3c n_36 n_6e n_39 n_89 n_8e w_0d n_6b n_5a n_2b n_c3 n_70 n_52 n_30 n_45 n_82 segment_end role_a_1 n_c6 n_92 n_5e n_cf w_10 n_30 n_a6 n_26 n_9c n_ca n_c9 n_0e n_5f n_d8 n_4a n_ce segment_end,role_a_0 n_c4 w_3d n_7d n_7a w_35 n_e1 w_31 n_94 n_bd n_ba n_bf w_04 n_40 n_45 n_29 n_20 segment_end role_a_1 n_ae n_75 n_b6 n_69 n_d7 n_9e n_82 w_18 n_f6 n_f2 w_1c n_e5 n_24 n_21 n_31 n_85 segment_end,role_a_0 w_1e w_42 w_4e w_35 n_a9 w_02 w_27 n_94 w_28 w_4a w_5b w_38 w_31 n_f0 w_2b n_e6 segment_end role_a_1 n_34 n_b4 n_07 n_ef n_0d n_80 n_ed n_1d n_83 n_33 n_b5 n_63 n_ae n_23 w_38 n_be segment_end,role_a_0 n_81 n_03 w_18 n_cd n_c2 n_f3 w_1e n_b2 n_43 n_cb n_55 n_29 n_c7 n_67 n_75 n_1d segment_end role_a_1 n_6c n_a6 n_92 n_2c n_23 n_64 n_9a n_05 n_7e n_36 n_13 n_d1 v_0c n_0b n_ca n_07 segment_end,channel_text n_11 w_4a w_1d w_30 w_4f w_46 w_57 n_08 w_24 w_2e w_04 w_08 n_03 n_76 w_35 w_2b,channel_text w_34 w_2e n_37 n_34 w_48 n_e0 w_40 n_1e n_f7 n_ee w_57 n_24 w_17 n_f6 n_72 w_2f,channel_text w_07 w_17 w_42 w_02 n_52 n_9a w_11 w_1b n_7e w_5b w_4a n_5f n_4d w_1e n_c1 w_2e,channel_text w_4d w_38 n_70 n_81 n_9d n_d4 n_32 n_93 n_ac w_43 n_f6 n_dd n_64 n_4d n_60 n_5c,text,text,text,text
003aa77612bd3d6452cea523,62b5847c8852de54f04acd07,role_a_0 w_16 w_2b w_48 w_2d n_c2 w_2a w_27 w_4a w_15 w_1e n_91 w_5e n_a1 n_c1 w_58 w_1d segment_end role_a_1 w_2b w_59 n_be w_57 w_0b w_3a w_45 w_17 n_f4 w_11 n_d1 w_18 w_2d w_04 n_47 w_56 segment_end,role_a_0 w_2b w_59 n_be w_57 w_0b w_3a w_45 w_17 n_f4 w_11 n_d1 w_18 w_2d w_04 n_47 w_56 segment_end role_a_1 w_4e n_69 w_38 w_1e n_07 w_57 n_bf w_02 n_66 n_76 w_5b n_75 w_40 n_a5 w_45 w_48 segment_end,role_a_0 w_11 n_87 w_25 n_5c n_5d n_8b n_e9 w_1f n_64 n_e8 w_57 w_12 w_2a w_47 w_38 n_98 segment_end role_a_1 n_aa n_0e n_ae w_5f n_cb n_92 w_2d n_4b n_bd n_ba n_4f n_9c n_f2 n_21 n_e4 n_44 segment_end,role_a_0 w_16 w_2b w_48 w_2d n_c2 w_2a w_27 w_4a w_15 w_1e n_91 w_5e n_a1 n_c1 w_58 w_1d segment_end,channel_text w_17 w_03 w_4a w_45 w_59 w_07 n_b1 w_25 n_b2 n_f8 w_26 n_dd w_4e w_04 w_1e w_2d,channel_text w_56 w_2e w_24 n_4c n_12 n_83 n_27 w_02 w_45 w_1e n_f8 w_2d w_30 w_17 w_5b w_43,channel_text w_5f w_56 w_48 w_41 w_18 w_17 w_40 n_ff w_3b w_4a w_19 n_fe w_32 n_47 n_0e w_2b,channel_text n_73 w_48 n_e8 n_a4 n_af n_31 n_ff n_8d w_17 n_9c w_30 w_4d w_43 n_d8 n_3a n_04,text,text,text,text
