task_id,cells
f_ccd66f233790827829f8,"[[5, 1], [5, 2], [5, 4], [6, 1], [6, 2], [6, 3], [6, 4]]"
f_f821b57b91a91c9f50c6,"[[2, 0], [3, 0], [3, 1], [3, 2], [3, 3]]"
f_4ad62a49f2f3d7cce51a,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [6, 2]]"
f_2ade353bd8f26f72e39b,"[[1, 0], [2, 0], [3, 0], [3, 1], [3, 2], [3, 3], [4, 0]]"
f_3fbdc54e794756bf85e3,"[[1, 2], [2, 1], [2, 2], [2, 4], [3, 1], [3, 2], [3, 4]]"
f_f8e3f02c02554a8a9933,"[[2, 0], [2, 1], [2, 3], [5, 0], [5, 1], [5, 3]]"
f_0266012b18e532091ce4,"[[1, 0], [1, 1], [2, 0], [2, 1]]"
f_80c7e1315adfb7f1c21d,"[[4, 2], [5, 0], [5, 2], [5, 4], [6, 0], [6, 2], [6, 4]]"
f_376bcac90fd5fb84f557,"[[2, 1], [2, 2], [2, 3], [2, 4], [4, 1], [4, 2], [4, 3], [4, 4]]"
f_f3d1164bb8d818f1120b,"[[1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [3, 3]]"
f_fcca17f13b2dd0d459cb,"[[0, 0], [0, 1], [0, 2], [1, 1], [1, 2]]"
f_1e981bb2549d64578895,"[[2, 0], [2, 2], [2, 4], [3, 0], [3, 2], [3, 3], [4, 0], [4, 2], [4, 3]]"
f_a2a9f0eec2a95f2683d0,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 5], [2, 0], [2, 1], [2, 2], [2, 3], [2, 5]]"
f_329efb1e4a32ec7809f0,"[[11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [18, 1], [18, 2], [18, 4], [18, 5]]"
f_39c094269b1784083616,"[[4, 0], [4, 1], [4, 2], [4, 3], [6, 0], [6, 1], [6, 2]]"
f_ab799d1c999c694fc296,"[[2, 2], [2, 4], [5, 2], [5, 4], [8, 1], [8, 4], [9, 3]]"
f_a00298afad81898f5c95,"[[6, 0], [6, 1], [6, 2], [7, 0], [7, 1], [7, 2], [9, 0], [9, 1], [9, 2]]"
f_ee848769cb998997a608,"[[2, 2], [3, 0], [3, 1], [3, 2]]"
f_9bd92cdecc80fc31e785,"[[1, 0], [1, 1], [1, 2], [1, 4], [1, 5], [1, 6]]"
f_4c0b24ddb0d46c21dbe9,"[[6, 0], [6, 1], [6, 2], [7, 0], [7, 1], [7, 2], [13, 0], [13, 1], [13, 2]]"
f_b0a8b30ad89faf146c09,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 4], [20, 5], [20, 7], [20, 8], [20, 9]]"
f_60e03b406e1bbf8e4c23,"[[8, 1], [8, 2], [8, 3], [12, 1], [12, 2], [12, 3]]"
f_f534a243e66b3dd59ed5,"[[5, 3], [7, 1], [7, 2]]"
f_bd1d19686504f8a44251,"[[26, 4], [27, 4], [28, 3], [28, 4], [29, 3], [29, 4], [30, 3], [30, 4]]"
f_60d2835f9b0314839a16,"[[12, 0], [13, 0], [13, 1], [13, 3], [13, 4], [13, 5], [14, 0], [14, 1]]"
f_a0643a547a7255ff54f0,"[[3, 1], [4, 0], [4, 1], [4, 2], [5, 1], [5, 2], [6, 1], [6, 2], [7, 1], [7, 2]]"
f_b8dabfa9789de6afd52c,"[[9, 0], [9, 1], [9, 2]]"
f_850dc3574813a2109fdb,"[[19, 3], [20, 0], [20, 1], [20, 2], [20, 3]]"
f_85cc4c1520ec36882199,"[[14, 0], [15, 0], [15, 2], [15, 3], [16, 0], [17, 0]]"
f_5bac2c48c7f45068ba4a,"[[2, 0], [3, 0], [3, 2], [3, 3]]"
f_e04bbf8dd2c6025e0b69,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 1]]"
f_bc3f1964e4c54f8d9e29,"[[1, 0], [1, 1], [1, 3]]"
f_622710528c1811ed9163,"[[13, 0], [14, 0], [15, 0], [15, 1], [15, 2]]"
f_fb3636f1ffefb9ad9c44,"[[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 3], [16, 4], [16, 5], [16, 6], [16, 7]]"
f_c6952d3a3ae7b72d81c1,"[[4, 0], [4, 1], [7, 0], [7, 1], [10, 0], [10, 1], [11, 0], [11, 1]]"
f_eaa9642c4ee6cc89bb78,"[[3, 0], [3, 1], [3, 2], [4, 1], [4, 2], [5, 0], [5, 1], [5, 2]]"
f_04a3571dca2e76ac1f54,"[[1, 0], [3, 0]]"
f_f72393e4ed01eaa7ae66,"[[13, 0], [13, 1], [13, 2]]"
f_06d3654a30beabff2199,"[[0, 0], [6, 2], [6, 3]]"
f_b06381321559802fbe9e,"[[6, 0], [6, 1], [6, 2], [7, 0], [7, 1], [7, 2], [8, 0], [8, 1], [8, 2], [9, 0], [9, 1], [9, 2], [10, 2]]"
f_4fa0ad90b74763c44d11,"[[1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 1], [9, 2], [9, 3], [9, 4], [10, 3], [11, 1], [11, 3], [12, 1], [12, 2], [12, 3], [12, 4]]"
f_b1892d6cd91c031aec44,"[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4]]"
f_9017b0613ff7b4730cd0,"[[2, 0], [4, 0], [4, 2], [8, 0], [8, 2]]"
f_899c23c1ff997f796327,"[[1, 1], [1, 4], [2, 2]]"
f_5b4accfcb9d3b7d3c386,"[[6, 0], [6, 2], [7, 0], [7, 2], [8, 0], [8, 1], [8, 2], [8, 3], [8, 4], [9, 0]]"
f_9c0e518cf67a23652658,"[[21, 0], [22, 4], [22, 5], [22, 6], [22, 7]]"
f_c91582c973e3ad7d4ab7,"[[4, 0], [4, 1], [5, 0], [5, 1], [6, 0], [6, 1], [7, 0], [7, 1], [8, 0], [8, 1], [8, 2], [8, 3], [8, 4]]"
f_b27c168cf092fad0522d,"[[26, 3], [26, 4], [26, 6], [26, 9], [26, 10], [27, 3]]"
